電影中文名稱,電影英文名稱,類型,國家,上映年份,導演,演員,Hami詳細頁Url,hami_rating,hami_duration,imdb_id,rt_tomatometer,rt_audience_score,douban_rating,imdb_rating,metacritic_rating,rt_tomatometer_omdb
花漾冰天使,Free Skate,劇情,歐洲,2022,羅佩奧列紐斯,"維耶拉W.維羅, 莉娜烏蒂拉, 卡蘿莉娜布萊克本",https://hamivideo.hinet.net/product/248636.do?cs=2,3.5,120分鐘,tt9587950,89%,NoRating,NoRating,5.4,NoRating,
聖戰追緝令,RAQQA,驚悚,西班牙,2024,赫拉多埃雷羅,"阿爾瓦羅莫特, 米娜艾阿曼尼, 黛寶娜法蘭高斯, 法里巴謝漢",https://hamivideo.hinet.net/product/309314.do?cs=2,3.0,106分鐘,tt30192600,NoRating,NoRating,NoRating,5.7,NoRating,
夜校,One Night At School,喜劇,香港,2023,劉翁,"張天賦, 凌文龍, 葛民輝, 詹瑞文, 郭奕芯, 李靜儀, 黃曦誼, 陳伊霖, 方泳琳, 吳肇軒",https://hamivideo.hinet.net/product/254292.do?cs=2,2.3,109分鐘,tt29244335,NoRating,NoRating,4.7,4.4,NoRating,
穿越未知世界,Infinitum：Subject Unknown,科幻,英國,2021,馬修巴特勒哈特,"伊恩麥克連, 托莉哈特, 康勒斯希爾",https://hamivideo.hinet.net/product/177616.do?cs=2,2.2,85分鐘,tt12108622,67%,86%,4.6,4.0,NoRating,
巡城馬,The Postman Fights Back,劇情,香港,1982,于仁泰,"周潤發, 鐘楚紅, 梁家仁, 高雄",https://hamivideo.hinet.net/product/292252.do?cs=2,3.7,90分鐘,tt0083348,NoRating,NoRating,6.5,6.1,NoRating,
蟑潮,Cockroach Invasion,動作,其他,2020,崔炎龍,"金珈, 江易軒, 徐少武, 紀亞文",https://hamivideo.hinet.net/product/163872.do?cs=2,3.1,88分鐘,tt13796104,NoRating,NoRating,3.7,4.2,NoRating,
白魔女蓮花秘籍,The death of a enchantress,動作,其他,2018,張磊,"楊竣羽, 彭靜, 劉磊",https://hamivideo.hinet.net/product/74217.do?cs=2,3.3,100分鐘,,NoRating,NoRating,NoRating,NoRating,NoRating,
神偷伊克巴爾,Hun Iqbal,劇情,印度,2023,帕拉夫帕里克,"米特拉加達維, 德瓦基, 尼拉夫維迪亞",https://hamivideo.hinet.net/product/261210.do?cs=2,3.5,134分鐘,tt26629768,NoRating,NoRating,5.5,7.3,NoRating,
一席之地,A Place of One’s Own,劇情,台灣,2009,樓一安,"高捷, 陸弈靜, 莫子儀, 路嘉欣, 唐振剛",https://hamivideo.hinet.net/product/319457.do?cs=2,4.0,118分鐘,,NoRating,35%,7.4,NoRating,NoRating,
秋想和春一起吃飯,"Let's Eat Together, Aki and Haru",劇情,日本,2023,川野浩司,"赤澤遼太郎, 高橋健介",https://hamivideo.hinet.net/product/253171.do?cs=2,4.5,89分鐘,tt34884858,NoRating,NoRating,5.7,7.2,NoRating,
連體陰,Alone,驚悚,泰國,2007,"班莊比辛達拿剛, 帕德潘王",瑪莎薇哈娜帕妮,https://hamivideo.hinet.net/product/195387.do?cs=2,3.1,93分鐘,tt0484090,93%,74%,6.4,6.4,NoRating,
靈異流量,The Pray,驚悚,東南亞,2024,布恩漢蒂,"坎達, 文申雲, 瑪雅, 賽馮",https://hamivideo.hinet.net/product/310151.do?cs=2,2.1,75分鐘,tt33333912,100%,95%,NoRating,NoRating,NoRating,
我心中的天空,How I Learned to Fly,劇情,歐洲,2022,拉迪沃耶安德里奇,"克拉拉赫瓦諾維奇, 奧爾加奧達諾維奇, 絲涅扎娜西諾夫西奇",https://hamivideo.hinet.net/product/283116.do?cs=2,4.8,89分鐘,tt28487580,71%,94%,NoRating,6.1,NoRating,
靚女差館,COP SHOP BABES,動作,香港,2001,張敏,"劉嘉玲, 陳奕迅, 張達明, 李珊珊",https://hamivideo.hinet.net/product/164777.do?cs=2,3.2,96分鐘,tt0318359,NoRating,20%,5.5,4.7,NoRating,
波克羅勒島謀殺案,Murders in Porquerolles,驚悚,法國,2022,黛爾芬勒莫恩,"佛杭蘇瓦文森提利, 夏洛莉布魯諾, 妮可卡爾凡",https://hamivideo.hinet.net/product/294494.do?cs=2,4.2,86分鐘,,NoRating,NoRating,NoRating,NoRating,NoRating,
甜心大叔,Reon,喜劇,日本,2020,塚本連平,"知英, 竹中直人, 吉澤亮, 大政絢, 山崎育三郎",https://hamivideo.hinet.net/product/133252.do?cs=2,4.0,99分鐘,tt6787298,NoRating,NoRating,6.2,6.1,NoRating,
解憂典當行,Cash for Gold,劇情,美加,2024,"羅伯特恩里奎茲, 黛博拉普特","黛博拉普特, 法夏法拉哈特, 喬貝絲威廉斯, 傑夫科伯, 安德魯J.威斯特",https://hamivideo.hinet.net/product/294477.do?cs=2,3.3,92分鐘,tt8609504,100%,99%,NoRating,7.3,NoRating,
修女傳,The Nuns Story,經典電影,美加,1959,佛萊德辛尼曼(FredZinnemann)【亂世忠魂】,"奧黛麗赫本(AudreyHepburn)【甜姐兒】, 彼得芬奇(PeterFinch)【鳳凰劫】, 伊迪絲艾文斯(EdithEvans)【謠言】",https://hamivideo.hinet.net/product/67859.do?cs=2,4.1,151分鐘,tt0053131,85%,81%,8.1,7.5,78/100,
BLEACH 死神劇場版：呼喚你的名字,"Bleach: Fade to Black, I Call Your Name",動畫,日本,2008,阿部記之,"森田成一, 折笠富美子, 伊藤健太郎",https://hamivideo.hinet.net/product/296836.do?cs=2,4.5,93分鐘,,NoRating,85%,NoRating,NoRating,NoRating,
暗網謀殺案,Deep Web: Murdershow,驚悚,美加,2023,丹柴克瑞,"艾登霍華德, 基米亞歷山大, 布萊登佛雷切, 喬許布萊克",https://hamivideo.hinet.net/product/314637.do?cs=2,3.6,81分鐘,tt6810618,NoRating,94%,NoRating,4.2,NoRating,
海灘別墅情殺案,The Beach House Murders,驚悚,美加,2024,道格坎貝爾,"布麗特妮多瑞, CJ哈蒙德, 德文特溫佛",https://hamivideo.hinet.net/product/297339.do?cs=2,2.5,80分鐘,tt30889211,NoRating,45%,NoRating,5.1,NoRating,
降魔軍團,Angels Fallen: Warriors of Peace,科幻,美加,2024,阿里紮馬尼,"小古巴古汀, 丹妮絲理查茲, 休斯頓萊茵斯, 麥可泰",https://hamivideo.hinet.net/product/316777.do?cs=2,2.5,104分鐘,tt20258220,NoRating,NoRating,NoRating,3.7,NoRating,
十三太保,"HEROIC ONES, THE",動作,香港,1970,張徹,"姜大衛, 狄龍, 李麗麗, 陳全",https://hamivideo.hinet.net/product/74751.do?cs=2,4.7,126分鐘,tt0070684,NoRating,70%,7.4,6.5,NoRating,
丹寧風雲錄,WEAVING SHIBUSA,紀錄片,美加,2021,德文萊雪,"半澤和彥, 小林昌良",https://hamivideo.hinet.net/product/144581.do?cs=2,4.2,60分鐘,tt5918414,NoRating,NoRating,NoRating,8.6,NoRating,
女王特大號,Dumplin’,喜劇,美加,2020,安弗萊契,"珍妮佛安妮斯頓, 丹妮爾麥當勞, 歐德雅羅許",https://hamivideo.hinet.net/product/138040.do?cs=2,4.0,109分鐘,tt4878482,86%,72%,6,6.5,53/100,
放棄生存症候群,Quiet Life,劇情,法國,2024,亞歷山卓阿拉納斯,"蕭蘋哈瑪多娃, 吉里格力多布金, 娜歐蜜藍普, 米羅斯拉娃帕蘇蒂娜, 艾萊尼魯西努",https://hamivideo.hinet.net/product/302665.do?cs=2,3.8,99分鐘,tt33030320,94%,NoRating,7.1,6.4,NoRating,
抽屍剝繭,CUTOFF,驚悚,德國,2020,克利斯汀阿凡特,"莫里茲布雷多, 潔絲娜佛里茲鮑爾, 法利亞迪姆, 恩諾黑塞",https://hamivideo.hinet.net/product/124408.do?cs=2,4.6,131分鐘,tt3645988,86%,53%,6.8,6.5,NoRating,
阿比阿弟尋歌大冒險,Bill ＆ Ted Face the Music,喜劇,美加,2020,狄恩派瑞薩特,"基努李維, 艾力克斯溫特, 薩瑪拉威明, 克莉絲汀夏爾",https://hamivideo.hinet.net/product/138879.do?cs=2,4.3,91分鐘,tt1086064,83%,64%,5.7,5.9,65/100,
哥吉拉：噬星者,GODZILLA: The Planet Eater,動畫,日本,2019,"靜野孔文, 瀨下寛之","宮野真守, 櫻井孝宏, 花澤香菜, 梶裕貴, 杉田智和, 上田麗奈, 小澤亞李, 諏訪部順一",https://hamivideo.hinet.net/product/157901.do?cs=2,4.3,90分鐘,tt8478602,60%,28%,6.2,5.1,NoRating,
幸福知音,Hear Me Out,喜劇,法國,2022,帕斯卡艾勒柏,"桑德琳齊柏琳, 帕斯卡艾勒柏",https://hamivideo.hinet.net/product/187272.do?cs=2,4.7,93分鐘,tt14371818,NoRating,NoRating,6.6,6.4,NoRating,
漠北追擊,Dangerous Pursuit,劇情,其他,2021,胥明文,"李飛, 袁百梓卉",https://hamivideo.hinet.net/product/188036.do?cs=2,3.5,79分鐘,,NoRating,NoRating,NoRating,NoRating,NoRating,
賭神之神,Return from the other World,劇情,香港,2002,潘家富,"王傑, 陳松伶, 李子雄, 杜汶澤, 廖啟智",https://hamivideo.hinet.net/product/282755.do?cs=2,4.0,98分鐘,tt0345140,NoRating,NoRating,5.9,5.5,NoRating,
緝凶,Locked In,驚悚,美加,2023,卡洛斯古鐵雷斯,"米娜蘇瓦麗, 傑夫法赫, 科斯塔斯曼迪勒",https://hamivideo.hinet.net/product/154650.do?cs=2,3.0,90分鐘,tt5144174,44%,51%,6.7,6.8,69/100,
童童的風鈴密室,Bell Chamber,驚悚,其他,2021,劉寧,"鄭佩佩, 陳法蓉, 安澤豪, 楊鏡儒",https://hamivideo.hinet.net/product/160963.do?cs=2,2.0,85分鐘,,NoRating,NoRating,3,NoRating,NoRating,
湖畔戀習曲,Clementine,劇情,美加,2022,娜拉蓋勒,"松雅瓦格爾, 奧特瑪拉瑪雷諾, 席德妮史威尼",https://hamivideo.hinet.net/product/208521.do?cs=2,4.3,94分鐘,tt7311036,100%,85%,5.7,4.9,55/100,
燒肉粽 數位修復版,The Rice Dumpling Vendors,劇情,台灣,1969,辛奇,"陽明, 金玫, 金塗, 戴佩珊, 素珠, 吳非宋, 陳財興, 英英, 張武仁",https://hamivideo.hinet.net/product/105018.do?cs=2,3.8,83分鐘,,NoRating,NoRating,NoRating,NoRating,NoRating,
野宴(經典數位修復),Picnic,經典電影,美加,1955,喬舒亞洛根,"威廉霍頓, 金露華",https://hamivideo.hinet.net/product/188414.do?cs=2,4.0,112分鐘,tt12411338,93%,84%,NoRating,NoRating,NoRating,
怨鈴,Stare,驚悚,日本,2020,安達寬高,"飯豐萬理江, 稻葉友, 忍成修吾, 染谷將太, 谷村美月",https://hamivideo.hinet.net/product/124489.do?cs=2,3.6,98分鐘,tt10240720,88%,NoRating,5.4,4.9,NoRating,
虐．殺,Ravage,驚悚,美加,2022,泰迪葛雷南,"安娜貝爾德克斯特瓊斯, 布魯斯鄧恩, 羅伯特隆史崔特",https://hamivideo.hinet.net/product/207042.do?cs=2,2.7,84分鐘,tt14479746,63%,22%,6,6.1,NoRating,
我是泰灣人,Taiwan My Second Home,家庭,台灣,2015,范云杰,"安鈞璨, 藍星, 錦雯",https://hamivideo.hinet.net/product/246873.do?cs=2,3.0,85分鐘,,NoRating,NoRating,NoRating,NoRating,NoRating,
決戰賽末點,Borg / McEnroe,劇情,歐洲,2018,亞努斯梅茲,"西亞李畢福, 斯維爾古德納森, 史戴倫史柯斯嘉, 涂娃娜蘿特妮",https://hamivideo.hinet.net/product/68255.do?cs=2,4.2,107分鐘,tt5727282,84%,74%,7,6.9,63/100,
美味毒婦,Paulette,喜劇,法國,2012,傑羅姆恩里可,"貝爾納黛特拉豐, 卡門莫拉, 多明妮克拉瓦馮納特, 法蘭西絲柏汀, 安德烈潘旺",https://hamivideo.hinet.net/product/298695.do?cs=2,4.3,86分鐘,tt2215395,71%,62%,7.8,6.6,40/100,
獵罪者,A Silent Death,劇情,其他,2025,塞巴斯蒂安施德爾,"華金佛里, 亞歷杭德羅粟田, 索蕾達維拉米爾, 瑪麗亞馬魯爾",https://hamivideo.hinet.net/product/300345.do?cs=2,1.0,91分鐘,tt29568587,NoRating,NoRating,NoRating,5.8,NoRating,
王哥柳哥遊台灣(上) 數位修復版,Brother Wang And Brother Liu Tour Taiwan－Part 1,喜劇,台灣,2016,"李行, 方霞, 田豐","矮仔財, 李冠章, 柯玉霞, 林琳, 戽斗",https://hamivideo.hinet.net/product/102959.do?cs=2,4.8,83分鐘,,NoRating,96%,6.3,NoRating,NoRating,
海尼根綁架案,The Heineken Kidnapping,劇情,歐洲,2011,馬騰特羅尼,"魯格豪爾, 雷諾特舒爾坦馮艾查特, 吉斯納貝",https://hamivideo.hinet.net/product/271743.do?cs=2,4.3,117分鐘,,NoRating,38%,5.9,NoRating,NoRating,
相愛的保存期限,Art of Loving,喜劇,韓國,2020,李建宇,"韓海仁, 樸仁荷",https://hamivideo.hinet.net/product/192094.do?cs=2,4.0,96分鐘,,NoRating,77%,7.1,NoRating,NoRating,
午夜少女戰爭,The Midnight Maiden War,劇情,日本,2022,二宮健,"安藤彰則, 柄本佑, 池田依來沙, 永瀨廉",https://hamivideo.hinet.net/product/283851.do?cs=2,3.6,113分鐘,tt14323080,NoRating,NoRating,5.5,5.3,NoRating,
小麻煩當家(英語),Trouble English,動畫,美加,2019,凱文強森,"迪布拉雷貝克爾, 凱文錢柏林, 傑森瑪耶茲",https://hamivideo.hinet.net/product/108008.do?cs=2,3.7,87分鐘,,65%,82%,5.6,NoRating,NoRating,
馴鹿大冒險：響鹿飛飛,Niko 1: The Way to The Stars,動畫,歐洲,2008,"卡里尤索南, 麥可亨納","安德魯麥可馬洪, 摩根瓊斯, 諾姆麥克唐納, 艾倫史丹佛, 陳貞伃, 張乃文, 陳彥鈞",https://hamivideo.hinet.net/product/314984.do?cs=2,3.6,77分鐘,tt0885415,NoRating,49%,6.8,6.1,NoRating,
安娜卡列妮娜,Anna Karenina,經典電影,英國,1948,朱利安迪維維耶,"費雯麗, 拉爾夫理查森, 基隆摩爾",https://hamivideo.hinet.net/product/285603.do?cs=2,4.0,139分鐘,tt1781769,63%,50%,7.3,6.6,63/100,
林沖之風雪山神廟,The Gods Fight Against,動作,其他,2019,胡國瀚,"柴圓樂, 趙曉璐, 王希, 周仕祺, 夏夢",https://hamivideo.hinet.net/product/139011.do?cs=2,3.0,72分鐘,tt14194192,NoRating,NoRating,5,7.5,NoRating,
淚水成鹽,The Salt of Tears,劇情,法國,2021,菲利普卡瑞,"洛根安托弗爾莫, 歐萊雅阿瑪拉, 露易絲謝維洛特, 蘇海拉雅各",https://hamivideo.hinet.net/product/153282.do?cs=2,2.8,100分鐘,tt10132976,64%,NoRating,6.7,6.1,62/100,
碧血劍,"SWORD STAINED WITH ROYAL BLOOD, THE",動作,香港,1981,張徹,"郭追, 文雪兒, 井莉, 龍天翔, 王力",https://hamivideo.hinet.net/product/71321.do?cs=2,4.0,109分鐘,tt0082072,NoRating,NoRating,6.8,6.5,NoRating,
陰雨,,劇情,台灣,2023,王裕淳,"游凱臣, 葉泓毅, 張硯雰",https://hamivideo.hinet.net/product/304019.do?cs=2,3.0,25分鐘,,NoRating,NoRating,NoRating,NoRating,NoRating,
漸動人生,You’re not you,劇情,美加,2014,喬治沃福,"希拉蕊史旺, 艾美羅森, 喬許杜哈莫",https://hamivideo.hinet.net/product/158991.do?cs=2,4.6,102分鐘,tt1198156,93%,74%,7.3,7.3,56/100,
BanG Dream! Film Live,BanG Dream! Film Live,動畫,日本,2019,梅津朋美,"愛美, 大塚紗英, 大橋彩香",https://hamivideo.hinet.net/product/107235.do?cs=2,4.7,72分鐘,tt11056458,NoRating,NoRating,8.8,7.9,NoRating,
巨獸狂蟒,Giant Python,動作,其他,2021,張迪財,"白那日蘇, 再米熱, 岳冬峰, 邵老五, 譚琍敏",https://hamivideo.hinet.net/product/196405.do?cs=2,2.8,78分鐘,,96%,90%,NoRating,NoRating,NoRating,
迷情蘇珊娜,Suzanna Andler,劇情,法國,2021,班諾賈克,"夏洛特甘斯柏, 尼斯許奈德",https://hamivideo.hinet.net/product/181212.do?cs=2,4.8,91分鐘,tt11530778,NoRating,NoRating,5.8,4.7,NoRating,
波羅的海事件簿：沙灘命案,Baltic Files I - The Body On The Beach,劇情,德國,2021,賈尼斯拉坦尼,"凱特琳娜史洛特豪爾, 泰瑞莎哈德爾, 沃爾夫勒姆葛蘭迪茲卡",https://hamivideo.hinet.net/product/278841.do?cs=2,4.1,88分鐘,,NoRating,NoRating,NoRating,NoRating,NoRating,
目無王法(邵氏經典),WHAT PRICE HONESTY,動作,香港,1981,袁浩泉,"白彪, 李修賢, 孫建, 林秀君, 羅烈",https://hamivideo.hinet.net/product/235325.do?cs=2,4.0,92分鐘,,NoRating,NoRating,8.1,NoRating,NoRating,
如果我擁抱你請不要害怕,Volare,劇情,義大利,2020,加布里薩爾瓦托,"克勞迪奧桑塔瑪利亞, 薇拉莉葛琳諾",https://hamivideo.hinet.net/product/176026.do?cs=2,4.5,98分鐘,tt9493232,NoRating,NoRating,NoRating,8.2,NoRating,
愛情大凸搥,ATM,愛情,泰國,2012,梅茲塔拉,"辰塔維塔納西維, 波麗雀亞彭檀娜妮可, 薩瓦特波拉達納波拉瑟",https://hamivideo.hinet.net/product/296217.do?cs=2,4.8,122分鐘,tt2191394,13%,23%,7,7.1,NoRating,
河邊路 625 號事件,What Happened At 625 River Road,驚悚,美加,2023,戴文喬飛約翰遜,"弗朗切斯卡普荷斯, 薩默弗利, 席爾瓦娜賈克奇, 皮特亞歷克斯馬澤基",https://hamivideo.hinet.net/product/261736.do?cs=2,2.8,71分鐘,tt13523166,NoRating,43%,NoRating,3.1,NoRating,
邊境交易,Deal At The Border,劇情,其他,2024,達斯坦薩帕瑞斯克迪,"貝蓋姆阿薩納庫諾娃, 蜜琳阿坦塔耶娃, 奧穆貝克伊茲萊洛夫",https://hamivideo.hinet.net/product/325548.do?cs=2,2.5,96分鐘,,NoRating,NoRating,NoRating,NoRating,NoRating,
秘密關係 Secret Lover: Last Promise,Secret Lover：Last Promise,愛情,台灣,2026,姜秉辰,"王君豪, 成晞, 林宴慈, 袁子筑, 張楷奕",https://hamivideo.hinet.net/product/325203.do?cs=2,5.0,120分鐘,,NoRating,NoRating,NoRating,NoRating,NoRating,
藍徽特攻隊,The Blue Max,經典電影,英國,1966,約翰吉勒明,"喬治比柏, 烏蘇拉安德絲",https://hamivideo.hinet.net/product/217716.do?cs=2,5.0,155分鐘,tt0060177,100%,76%,7.7,7.1,NoRating,
人肉慾室,We Are The Flesh,驚悚,其他,2016,艾米里亞諾羅夏敏特,"諾亞埃爾南德斯, 瑪麗亞伊歐利, 迪亞哥迦瑪列",https://hamivideo.hinet.net/product/146540.do?cs=2,2.5,80分鐘,,73%,27%,5.7,NoRating,NoRating,
冒牌情緣,Man Up,愛情,英國,2015,班帕瑪,"賽門佩格, 蕾克貝爾, 奧莉薇威廉",https://hamivideo.hinet.net/product/209621.do?cs=2,4.5,87分鐘,tt3064298,81%,69%,7.6,6.8,69/100,
不羈冠軍路,Birth Of A Champion,劇情,德國,2021,哈奴薩隆能,"布魯諾亞歷山大, 山謬芬奇, 蜜雪兒馬蒂切維克",https://hamivideo.hinet.net/product/258285.do?cs=2,4.6,99分鐘,tt14418508,NoRating,NoRating,NoRating,6.1,NoRating,
透明人,The Invisible Man,經典電影,美加,1933,詹姆斯惠爾,"克勞德雷恩斯, 葛羅莉史都華",https://hamivideo.hinet.net/product/200681.do?cs=2,3.8,71分鐘,tt0164052,91%,88%,6.8,5.9,24/100,
美國大屠殺,American Backwoods Slew Hampshire,驚悚,美加,2013,亞當麥克李德,"戴奧歐柯奈伊, 克萊兒多丹, 肖恩托馬斯, 蓋雅維尼爾, 傑里米伊莎貝拉",https://hamivideo.hinet.net/product/313996.do?cs=2,5.0,98分鐘,tt1778906,NoRating,NoRating,NoRating,3.6,NoRating,
濟公之降龍降世(英語),Master Ji Gong(English),動畫,其他,2021,"劉志江, 喬彧",,https://hamivideo.hinet.net/product/251406.do?cs=2,1.0,92分鐘,,NoRating,NoRating,4.4,NoRating,NoRating,
噬血河馬,Hippo’s Revenge,驚悚,英國,2025,山姆P.格林,"傑森貝利, 珍娜N.威爾遜, 埃文喬治, 凱恩凱恩斯塔麥基",https://hamivideo.hinet.net/product/317248.do?cs=2,1.4,81分鐘,tt37581896,NoRating,NoRating,NoRating,3.6,NoRating,
魔鬼6部曲,Blood Covenant,驚悚,其他,2025,"馬裡亞諾卡塔內奧, 哈桑達格利, 史賓塞凱勒","阿古斯丁奧爾切斯, 喬基里, 瑪麗亞尤金妮亞里貢, 麥卡夢露",https://hamivideo.hinet.net/product/324753.do?cs=2,2.2,85分鐘,,NoRating,NoRating,NoRating,NoRating,NoRating,
雙俠(邵氏經典),"DEADLY DUO, THE",經典電影,香港,2020,張徹,"姜大衛, 狄龍, 谷峰, 楊斯",https://hamivideo.hinet.net/product/242070.do?cs=2,3.6,81分鐘,,NoRating,59%,NoRating,NoRating,NoRating,
美味的垃圾食物,The Dark Side of the Food Industry,紀錄片,其他,2022,菲利普馬赫,"邁可摩斯, 瑪麗香塔兒梅西耶, 雨果洛佩茲蓋特爾, 班傑明布特爾",https://hamivideo.hinet.net/product/210720.do?cs=2,4.8,54分鐘,,NoRating,39%,NoRating,NoRating,NoRating,
危機搶救,WHITEBLOOD,動作,美加,2017,班巴特勒,"赫克托杜蘭, 裘內絲特寇爾查多, 馬克克雷尼克",https://hamivideo.hinet.net/product/136021.do?cs=2,3.8,81分鐘,,NoRating,NoRating,NoRating,NoRating,NoRating,
潛艦危機,Submersibl,驚悚,其他,2020,阿爾弗雷多萊昂利昂,"雷納爾戈麥茲, 娜塔莉亞雷耶斯, 荷西雷斯特雷波, 卡洛斯瓦倫西亞",https://hamivideo.hinet.net/product/210366.do?cs=2,3.6,79分鐘,,NoRating,NoRating,NoRating,NoRating,NoRating,
逃出絕命屋,Cerebrum,驚悚,英國,2022,賽巴斯蒂安布蘭克,"托比金巴卡爾, 拉莫納馮普什, 史蒂夫奧拉姆",https://hamivideo.hinet.net/product/276129.do?cs=2,3.5,95分鐘,tt29972415,NoRating,NoRating,NoRating,9.4,NoRating,
野蠻真相,Waiting for the Barbarians,劇情,美加,2010,希羅蓋拉,"馬克勞倫斯, 強尼戴普, 羅伯派汀森",https://hamivideo.hinet.net/product/133506.do?cs=2,4.4,113分鐘,tt6149154,53%,59%,6.5,6.0,52/100,
陰兒,Stray,驚悚,歐洲,2019,奧嘉高勒德斯基亞,"伊蓮娜莉亞多娃, 弗拉基米爾弗多維成科夫, 葉甫蓋尼茨岡諾夫",https://hamivideo.hinet.net/product/106149.do?cs=2,3.6,90分鐘,tt8291886,NoRating,100%,5.4,4.7,NoRating,
舊愛來作客,Passing Summer,愛情,韓國,2018,趙成奎,"林元熙, 申素律, 全錫浩, 鄭妍周",https://hamivideo.hinet.net/product/98551.do?cs=2,3.2,93分鐘,tt9174120,NoRating,93%,6.5,5.9,NoRating,
男神訓練營,Mr. McDreamy,喜劇,香港,2019,林子聰,"鄭愷, 方力申, 陳國坤, 林子聰, 金剛, 徐冬冬, 胡然, 張秀文, 高海寧, 谷德昭, 張達明, 馮勉恒, 張雨綺",https://hamivideo.hinet.net/product/123705.do?cs=2,3.6,88分鐘,,NoRating,NoRating,2.6,NoRating,NoRating,
整形歸來,Reshapd Back,愛情,其他,2014,張翔宇,"蘇菲, 張慧雯, 張乃歌",https://hamivideo.hinet.net/product/148764.do?cs=2,2.3,50分鐘,,89%,79%,2.4,NoRating,NoRating,
健康藥不要,Medicating Normal,紀錄片,美加,2022,"琳恩康寧漢, 溫蒂拉克特利夫",,https://hamivideo.hinet.net/product/200523.do?cs=2,4.4,53分鐘,tt10553086,100%,80%,NoRating,7.9,NoRating,
傾國傾城,"EMPRESS DOWAGER, THE",經典電影,香港,1975,李翰祥,"盧燕, 狄龍, 姜大衛",https://hamivideo.hinet.net/product/84544.do?cs=2,3.0,111分鐘,tt0073916,NoRating,73%,7.7,7.0,NoRating,
鬼吹簫,The Piper,驚悚,美加,2025,艾林格索羅森,"夏綠蒂霍普, 朱利安山德斯, 凱特尼可斯",https://hamivideo.hinet.net/product/321992.do?cs=2,3.5,95分鐘,tt14197038,57%,31%,NoRating,4.6,NoRating,
鍾馗娘子,"LADY HERMIT, THE",動作,香港,1971,何夢華,"鄭佩佩, 羅烈, 施思, 王俠",https://hamivideo.hinet.net/product/135441.do?cs=2,3.5,97分鐘,tt0067322,NoRating,67%,6.3,7.2,NoRating,
仙履奇緣：夢幻舞會,Cinderella,家庭,美加,2018,史蒂文薩爾加度,"蘿倫裴蕾茲, 瑪莉亞格雷, 亞德里安德哈瑪斯",https://hamivideo.hinet.net/product/140420.do?cs=2,2.0,79分鐘,tt10155932,41%,57%,5.6,4.4,41/100,
洛城末日,LA Apocalypse,科幻,美加,2015,麥克約翰沙納,"戴維凱德, 吉娜霍爾, 克里斯多夫賈基, 雷蒙德約翰巴里",https://hamivideo.hinet.net/product/287308.do?cs=2,2.0,83分鐘,tt3312936,NoRating,43%,NoRating,2.8,NoRating,
熱血格鬥,BATTLE OF THE FISTS,動作,越南,2021,阮伯強,"張國強, 黃天, 維慶",https://hamivideo.hinet.net/product/245904.do?cs=2,3.0,93分鐘,tt13776520,NoRating,NoRating,NoRating,6.3,NoRating,
機械畫皮,Almost Human,科幻,其他,2020,張楠,"郭碧婷, 段博文, 劉儀偉",https://hamivideo.hinet.net/product/158741.do?cs=2,2.5,91分鐘,,43%,22%,3.5,NoRating,NoRating,
幼兒怨,The Cursed,驚悚,香港,2018,葉偉英,"劉心悠, 劉浩龍, 楊柳青, 曾詠欣",https://hamivideo.hinet.net/product/276707.do?cs=2,3.6,85分鐘,tt9407156,NoRating,NoRating,3.5,4.9,NoRating,
功夫廚師,kung fu pho,動作,越南,2015,阮國維,"福彪, 武范艷眉, 黃福原",https://hamivideo.hinet.net/product/240083.do?cs=2,3.2,93分鐘,tt5232488,NoRating,NoRating,NoRating,4.7,NoRating,
放蕩世代,Savage Days,劇情,法國,2021,大衛蘭茲曼,"亞蘭法比安德隆, 瑞度漢加尼, 洛拉奧布瑞爾",https://hamivideo.hinet.net/product/256267.do?cs=2,2.0,79分鐘,tt12833358,NoRating,NoRating,NoRating,5.5,NoRating,
願賭服輸,The Opposite Sex,喜劇,美加,2014,"珍妮佛芬尼根, 喬納森斯沃曼","吉歐夫斯圖茲, 米娜蘇瓦麗, 珍妮佛芬尼根, 艾力克羅勃茲",https://hamivideo.hinet.net/product/234744.do?cs=2,2.5,96分鐘,tt2796678,7%,29%,5.2,4.5,NoRating,
以愛之茗,Black Tea,劇情,台灣,2024,阿布代拉曼席沙克,"妮娜美羅, 張翰, 吳可熙, 張豐豪, 余佩真, 黃惟",https://hamivideo.hinet.net/product/276118.do?cs=2,3.0,110分鐘,tt21994228,33%,NoRating,2.7,5.2,NoRating,
拼出真愛,BEE SEASON,家庭,德國,2005,"史考特麥基席, 大衛席格","李察吉爾, 茱麗葉畢諾許, 弗洛拉克洛斯",https://hamivideo.hinet.net/product/300445.do?cs=2,4.8,104分鐘,tt0387059,44%,35%,6.9,5.4,54/100,
人生選擇題,The Life Student,愛情,美加,2019,羅伯特藍伯,"夏恩亨登, 溫蒂薇妮寶, 塞爾吉奧金, 珍妮佛里昂",https://hamivideo.hinet.net/product/194329.do?cs=2,4.0,86分鐘,,NoRating,NoRating,NoRating,NoRating,NoRating,
特警使命之全城危機,Swat Duty: City Crisis,動作,其他,2020,"王利興, 池源","張永達, 章小軍, 曹天愷, 馬亞楠",https://hamivideo.hinet.net/product/146385.do?cs=2,3.7,86分鐘,,NoRating,NoRating,4.1,NoRating,NoRating,
