電影中文名稱,電影英文名稱,類型,國家,上映年份,導演,演員,Hami詳細頁Url,hami_rating,hami_duration,imdb_id,rt_tomatometer,rt_audience_score,douban_rating,imdb_rating,metacritic_rating,rt_tomatometer_omdb
登峰造擊,Million Dollar Baby,劇情,美加,2005,克林伊斯威特,"克林伊斯威特, 希拉蕊史旺, 摩根費里曼",https://hamivideo.hinet.net/product/141765.do?cs=2,4.7,132分鐘,tt0405159,90%,90%,8.8,8.1,86/100,
暗夜殺局,Misdirection,動作,美加,2026,凱文路易斯,"歐嘉柯瑞蘭蔻, 法蘭克葛里洛, 蘭達, 奧利佛特雷維納, 弗拉迪斯拉夫拉皮杜斯, 雷西麥克洛里",https://hamivideo.hinet.net/product/322286.do?cs=2,3.2,88分鐘,tt6374142,NoRating,NoRating,NoRating,4.8,NoRating,
愛情神話,Myth of Love,愛情,中國,2021,紹藝輝,"徐崢, 馬伊琍, 吳越, 倪虹潔, 黃明昊",https://hamivideo.hinet.net/product/218210.do?cs=2,4.2,112分鐘,tt16606348,NoRating,NoRating,8.1,7.4,NoRating,
劇場版 世界計畫 崩壞的世界與無法歌唱的初音未來,COLORFUL STAGE! The Movie A Miku Who Can’t Sing,動畫,日本,2025,畑博之,"藤田咲, 野口瑠璃子, 小倉唯, 廣瀨大介",https://hamivideo.hinet.net/product/315514.do?cs=2,4.8,105分鐘,tt33050528,NoRating,96%,6.9,6.4,NoRating,
盲證,Blind,驚悚,韓國,2011,安尚勛,"金荷娜, 俞承豪, 曹熙奉, 梁英祖, 金美卿, 朴寶劍",https://hamivideo.hinet.net/product/226047.do?cs=2,4.4,110分鐘,tt2025506,100%,69%,7.5,6.8,NoRating,
想見你的愛,Your Eyes Tell,愛情,日本,2021,三木孝浩,"吉高由里子, 橫濱流星, 町田啓太",https://hamivideo.hinet.net/product/172284.do?cs=2,4.6,123分鐘,tt11051974,NoRating,95%,7.4,7.4,NoRating,
失控危城,Hotel Mumbai,動作,美加,2019,安東尼馬拉斯,"戴夫帕托, 艾米漢默, 娜贊寧波妮蒂, 傑森艾塞克, 亞努潘卡爾",https://hamivideo.hinet.net/product/259751.do?cs=2,4.5,122分鐘,tt5461944,76%,88%,8.3,7.6,62/100,
瞞天過海2：長驅直入,OCEAN’S TWELVE,動作,美加,2004,史蒂芬索德柏,"喬治克隆尼, 布萊德彼特, 麥特戴蒙",https://hamivideo.hinet.net/product/145088.do?cs=2,4.3,125分鐘,tt0349903,55%,60%,7.3,6.5,58/100,
麒麟之翼：新參者劇場版,The Wings of the Kirin,劇情,日本,2012,土井裕泰,"阿部寬, 新垣結衣, 溝端淳平, 松坂桃李, 菅田將暉, 山崎賢人",https://hamivideo.hinet.net/product/264563.do?cs=2,4.6,129分鐘,tt1946285,NoRating,NoRating,7.3,6.5,NoRating,
迷航崑崙墟：異生,Hidden in the KunLun,動作,中國,2025,肖翕勻,"謝茗宇, 張梓璐, 木毅涵, 柴園樂, 李廣旭, 李炎峰, 陳紫函, 英壯, 溫海波, 孫蛟龍",https://hamivideo.hinet.net/product/310129.do?cs=2,2.4,86分鐘,,NoRating,NoRating,NoRating,NoRating,NoRating,
偷天俠盜團,The Misfits,動作,美加,2021,雷尼哈林,"皮爾斯布洛斯南, 提姆羅斯, 鍾潔咪, 尼克卡農, 妙麗克菲爾德, 麥克皮拉特尼提派索庫",https://hamivideo.hinet.net/product/174293.do?cs=2,3.9,94分鐘,tt4876134,18%,45%,4.9,4.5,25/100,
